sample,age,sex,self1,self2,self3,self4,self5,self6,self7,self8,self9,self10,agegr_us,extraver,mean,nation,agegroup,sumscore
14,nurses_international,NA,NA,exactly true,barely true,moderately true, exactly true, exactly true,exactly true,exactly true, moderately true, moderately true,exactly true,NA,NA,3.5,Belgium,NA,35
15,nurses_international,NA,NA,moderately true,not at all true,barely true, exactly true,moderately true,moderately true,moderately true, moderately true, moderately true,exactly true,NA,NA,2.9,Belgium,NA,29
16,nurses_international,NA,NA,moderately true,barely true,moderately true, exactly true, exactly true,moderately true,moderately true, barely true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
17,nurses_international,NA,NA,moderately true,moderately true,moderately true,barely true, barely true,moderately true,barely true, barely true,barely true,barely true,NA,NA,2.4,Belgium,NA,24
18,nurses_international,NA,NA,exactly true,moderately true,exactly true, exactly true, exactly true,exactly true,exactly true, exactly true, exactly true,exactly true,NA,NA,3.9,Belgium,NA,39
19,nurses_international,NA,NA,moderately true,moderately true,barely true,moderately true, exactly true,exactly true,moderately true, moderately true, moderately true, moderately true,NA,NA,3.1,Belgium,NA,31
20,nurses_international,NA,NA,exactly true,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3.1,Belgium,NA,31
21,nurses_international,NA,NA,moderately true,barely true,not at all true,moderately true, exactly true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.8,Belgium,NA,28
22,nurses_international,NA,NA,moderately true,not at all true,not at all true,barely true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.5,Belgium,NA,25
23,nurses_international,NA,NA,not at all true,not at all true,barely true,moderately true,moderately true,moderately true,exactly true, moderately true, moderately true, moderately true,NA,NA,2.6,Belgium,NA,26
24,nurses_international,NA,NA,moderately true,exactly true,moderately true, exactly true, exactly true,exactly true,exactly true, exactly true, exactly true,exactly true,NA,NA,3.8,Belgium,NA,38
25,nurses_international,NA,NA,moderately true,not at all true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.8,Belgium,NA,28
26,nurses_international,NA,NA,moderately true,barely true,barely true,barely true,moderately true,moderately true,moderately true, barely true, moderately true, moderately true,NA,NA,2.6,Belgium,NA,26
27,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
28,nurses_international,NA,NA,exactly true,moderately true,moderately true,moderately true,moderately true,exactly true,exactly true, exactly true, exactly true,exactly true,NA,NA,3.6,Belgium,NA,36
29,nurses_international,NA,NA,moderately true,moderately true,exactly true, exactly true,moderately true,exactly true,moderately true, moderately true, exactly true,exactly true,NA,NA,3.5,Belgium,NA,35
30,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
31,nurses_international,NA,NA,moderately true,moderately true,moderately true, exactly true, exactly true,exactly true,exactly true, moderately true, exactly true,exactly true,NA,NA,3.6,Belgium,NA,36
32,nurses_international,NA,NA,exactly true,moderately true,exactly true, exactly true, exactly true,exactly true,exactly true, moderately true, moderately true, moderately true,NA,NA,3.6,Belgium,NA,36
33,nurses_international,NA,NA,exactly true,moderately true,exactly true,moderately true, exactly true,exactly true,exactly true, exactly true, exactly true,exactly true,NA,NA,3.8,Belgium,NA,38
34,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
35,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, barely true, moderately true, moderately true,NA,NA,2.8,Belgium,NA,28
36,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true,exactly true,NA,NA,3,Belgium,NA,30
37,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true, exactly true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3.1,Belgium,NA,31
38,nurses_international,NA,NA,moderately true,moderately true,barely true,barely true,moderately true,barely true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.7,Belgium,NA,27
39,nurses_international,NA,NA,exactly true,barely true,barely true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
40,nurses_international,NA,NA,exactly true,moderately true,moderately true,moderately true,moderately true,exactly true,moderately true, moderately true, exactly true,exactly true,NA,NA,3.4,Belgium,NA,34
41,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,exactly true,moderately true, moderately true, moderately true,exactly true,NA,NA,3.1,Belgium,NA,31
42,nurses_international,NA,NA,moderately true,barely true,moderately true, exactly true, exactly true,exactly true,moderately true, moderately true, exactly true, moderately true,NA,NA,3.3,Belgium,NA,33
43,nurses_international,NA,NA,moderately true,not at all true,barely true,moderately true,moderately true,moderately true,moderately true, barely true,barely true, moderately true,NA,NA,2.5,Belgium,NA,25
44,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
45,nurses_international,NA,NA,exactly true,barely true,not at all true, exactly true, exactly true,exactly true,exactly true, exactly true, exactly true,exactly true,NA,NA,3.5,Belgium,NA,35
46,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
47,nurses_international,NA,NA,moderately true,moderately true,moderately true, exactly true, exactly true,exactly true,exactly true, moderately true, moderately true,exactly true,NA,NA,3.5,Belgium,NA,35
48,nurses_international,NA,NA,moderately true,moderately true,not at all true,moderately true, exactly true,exactly true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
49,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
50,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
51,nurses_international,NA,NA,moderately true,not at all true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.8,Belgium,NA,28
52,nurses_international,NA,NA,exactly true,moderately true,moderately true,moderately true, exactly true,exactly true,moderately true, moderately true, moderately true, moderately true,NA,NA,3.3,Belgium,NA,33
53,nurses_international,NA,NA,moderately true,barely true,exactly true, exactly true,moderately true,exactly true,exactly true, exactly true, exactly true, moderately true,NA,NA,3.5,Belgium,NA,35
54,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
55,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
56,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
57,nurses_international,NA,NA,moderately true,barely true,barely true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.8,Belgium,NA,28
58,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
59,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true, barely true,barely true,moderately true, moderately true,barely true,barely true,NA,NA,2.6,Belgium,NA,26
60,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
61,nurses_international,NA,NA,moderately true,not at all true,moderately true,barely true, barely true,moderately true,moderately true, moderately true, moderately true,barely true,NA,NA,2.5,Belgium,NA,25
62,nurses_international,NA,NA,exactly true,moderately true,moderately true, exactly true, exactly true,exactly true,exactly true, exactly true, exactly true,exactly true,NA,NA,3.8,Belgium,NA,38
63,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true,barely true, moderately true,NA,NA,2.8,Belgium,NA,28
64,nurses_international,NA,NA,exactly true,moderately true,moderately true, exactly true,moderately true,exactly true,exactly true, moderately true, moderately true,exactly true,NA,NA,3.5,Belgium,NA,35
65,nurses_international,NA,NA,moderately true,not at all true,moderately true, exactly true, exactly true,exactly true,exactly true, exactly true, exactly true,exactly true,NA,NA,3.5,Belgium,NA,35
66,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,barely true, moderately true,barely true, moderately true,NA,NA,2.7,Belgium,NA,27
67,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,barely true, barely true,barely true, moderately true,NA,NA,2.6,Belgium,NA,26
68,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true, exactly true,exactly true,exactly true, moderately true, exactly true,exactly true,NA,NA,3.5,Belgium,NA,35
69,nurses_international,NA,NA,moderately true,moderately true,moderately true, exactly true, exactly true,moderately true,exactly true, moderately true, moderately true, moderately true,NA,NA,3.3,Belgium,NA,33
70,nurses_international,NA,NA,moderately true,moderately true,moderately true, exactly true, exactly true,exactly true,moderately true, moderately true, moderately true, moderately true,NA,NA,3.3,Belgium,NA,33
71,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,exactly true,moderately true, moderately true, exactly true,exactly true,NA,NA,3.3,Belgium,NA,33
72,nurses_international,NA,NA,moderately true,barely true,moderately true, exactly true, exactly true,exactly true,moderately true, moderately true, moderately true,exactly true,NA,NA,3.3,Belgium,NA,33
73,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
74,nurses_international,NA,NA,exactly true,exactly true,moderately true, exactly true,moderately true,exactly true,moderately true, exactly true, exactly true, moderately true,NA,NA,3.6,Belgium,NA,36
75,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true, barely true,barely true,moderately true, barely true, moderately true, moderately true,NA,NA,2.7,Belgium,NA,27
76,nurses_international,NA,NA,exactly true,barely true,not at all true,moderately true, exactly true,exactly true,exactly true, exactly true, exactly true,exactly true,NA,NA,3.4,Belgium,NA,34
77,nurses_international,NA,NA,moderately true,moderately true,exactly true,moderately true, barely true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
78,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true, barely true,moderately true,moderately true, barely true,barely true, moderately true,NA,NA,2.6,Belgium,NA,26
79,nurses_international,NA,NA,not at all true,barely true,barely true,barely true, barely true,not at all true,barely true, moderately true, moderately true, moderately true,NA,NA,2.1,Belgium,NA,21
80,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,exactly true, moderately true, moderately true,exactly true,NA,NA,3.1,Belgium,NA,31
81,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
82,nurses_international,NA,NA,moderately true,not at all true,moderately true,barely true,moderately true,moderately true,moderately true, barely true,barely true,barely true,NA,NA,2.4,Belgium,NA,24
83,nurses_international,NA,NA,moderately true,not at all true,moderately true,moderately true,moderately true,moderately true,barely true, moderately true, moderately true, moderately true,NA,NA,2.7,Belgium,NA,27
84,nurses_international,NA,NA,exactly true,moderately true,exactly true, exactly true, exactly true,exactly true,exactly true, exactly true, exactly true,exactly true,NA,NA,3.9,Belgium,NA,39
85,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, barely true, moderately true, moderately true,NA,NA,2.8,Belgium,NA,28
86,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
87,nurses_international,NA,NA,barely true,barely true,moderately true,moderately true, barely true,barely true,barely true, barely true,barely true,barely true,NA,NA,2.2,Belgium,NA,22
88,nurses_international,NA,NA,moderately true,moderately true,barely true,barely true,moderately true,moderately true,moderately true, moderately true,barely true, moderately true,NA,NA,2.7,Belgium,NA,27
89,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, barely true, moderately true, moderately true,NA,NA,2.8,Belgium,NA,28
90,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true, exactly true,exactly true,exactly true, moderately true, moderately true, moderately true,NA,NA,3.3,Belgium,NA,33
91,nurses_international,NA,NA,exactly true,barely true,barely true,moderately true, exactly true,exactly true,exactly true, moderately true, moderately true,exactly true,NA,NA,3.3,Belgium,NA,33
92,nurses_international,NA,NA,moderately true,barely true,moderately true,barely true, barely true,barely true,barely true, barely true,barely true,barely true,NA,NA,2.2,Belgium,NA,22
93,nurses_international,NA,NA,moderately true,barely true,barely true,moderately true, exactly true,exactly true,exactly true, moderately true, moderately true, moderately true,NA,NA,3.1,Belgium,NA,31
94,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,exactly true,moderately true, moderately true, moderately true,exactly true,NA,NA,3.2,Belgium,NA,32
95,nurses_international,NA,NA,moderately true,moderately true,barely true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
96,nurses_international,NA,NA,moderately true,barely true,barely true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.8,Belgium,NA,28
97,nurses_international,NA,NA,exactly true,exactly true,not at all true,moderately true, exactly true,exactly true,exactly true, exactly true, moderately true,exactly true,NA,NA,3.5,Belgium,NA,35
98,nurses_international,NA,NA,moderately true,not at all true,barely true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.7,Belgium,NA,27
99,nurses_international,NA,NA,moderately true,barely true,barely true,moderately true,moderately true,exactly true,moderately true, moderately true, moderately true,exactly true,NA,NA,3,Belgium,NA,30
100,nurses_international,NA,NA,moderately true,moderately true,exactly true,moderately true, exactly true,exactly true,moderately true, moderately true, moderately true, moderately true,NA,NA,3.3,Belgium,NA,33
101,nurses_international,NA,NA,exactly true,exactly true,exactly true, exactly true, exactly true,moderately true,exactly true, moderately true, exactly true,exactly true,NA,NA,3.8,Belgium,NA,38
102,nurses_international,NA,NA,exactly true,barely true,moderately true, exactly true, exactly true,exactly true,exactly true, exactly true, exactly true,exactly true,NA,NA,3.7,Belgium,NA,37
103,nurses_international,NA,NA,exactly true,moderately true,moderately true, exactly true, exactly true,exactly true,exactly true, moderately true, exactly true,exactly true,NA,NA,3.7,Belgium,NA,37
104,nurses_international,NA,NA,moderately true,moderately true,barely true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
105,nurses_international,NA,NA,moderately true,not at all true,barely true,barely true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.6,Belgium,NA,26
106,nurses_international,NA,NA,moderately true,moderately true,barely true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
107,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true,exactly true,NA,NA,3,Belgium,NA,30
108,nurses_international,NA,NA,exactly true,exactly true,moderately true,moderately true, exactly true,moderately true,barely true, barely true, moderately true,exactly true,NA,NA,3.2,Belgium,NA,32
109,nurses_international,NA,NA,moderately true,moderately true,exactly true, exactly true, exactly true,exactly true,exactly true, exactly true, exactly true, moderately true,NA,NA,3.7,Belgium,NA,37
110,nurses_international,NA,NA,barely true,barely true,moderately true,moderately true,moderately true,exactly true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
111,nurses_international,NA,NA,moderately true,barely true,exactly true,moderately true, barely true,exactly true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
112,nurses_international,NA,NA,not at all true,moderately true,moderately true, exactly true, exactly true,exactly true,exactly true, exactly true, exactly true,exactly true,NA,NA,3.5,Belgium,NA,35
113,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
114,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
115,nurses_international,NA,NA,moderately true,moderately true,barely true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true,exactly true,NA,NA,3,Belgium,NA,30
116,nurses_international,NA,NA,exactly true,moderately true,moderately true, exactly true, exactly true,exactly true,moderately true, moderately true, exactly true, moderately true,NA,NA,3.5,Belgium,NA,35
117,nurses_international,NA,NA,exactly true,barely true,moderately true,moderately true, exactly true,moderately true,moderately true, barely true, moderately true,exactly true,NA,NA,3.1,Belgium,NA,31
118,nurses_international,NA,NA,moderately true,not at all true,exactly true,moderately true, exactly true,exactly true,exactly true, moderately true, moderately true,exactly true,NA,NA,3.3,Belgium,NA,33
119,nurses_international,NA,NA,moderately true,not at all true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.8,Belgium,NA,28
120,nurses_international,NA,NA,moderately true,barely true,moderately true, exactly true, exactly true,moderately true,exactly true, moderately true, moderately true,exactly true,NA,NA,3.3,Belgium,NA,33
121,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, barely true,barely true, moderately true,NA,NA,2.7,Belgium,NA,27
122,nurses_international,NA,NA,exactly true,moderately true,exactly true, exactly true, exactly true,moderately true,moderately true, moderately true, exactly true,exactly true,NA,NA,3.6,Belgium,NA,36
123,nurses_international,NA,NA,moderately true,moderately true,exactly true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3.1,Belgium,NA,31
124,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
125,nurses_international,NA,NA,exactly true,moderately true,moderately true,moderately true,moderately true,exactly true,moderately true, moderately true, moderately true, moderately true,NA,NA,3.2,Belgium,NA,32
126,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, barely true, moderately true, moderately true,NA,NA,2.8,Belgium,NA,28
127,nurses_international,NA,NA,moderately true,moderately true,moderately true, exactly true, exactly true,exactly true,exactly true, exactly true, exactly true,exactly true,NA,NA,3.7,Belgium,NA,37
128,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,barely true, moderately true,barely true, moderately true,NA,NA,2.7,Belgium,NA,27
129,nurses_international,NA,NA,moderately true,barely true,exactly true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
130,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true, barely true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.8,Belgium,NA,28
131,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,exactly true,moderately true, moderately true, moderately true, moderately true,NA,NA,3.1,Belgium,NA,31
132,nurses_international,NA,NA,exactly true,moderately true,exactly true, exactly true, exactly true,exactly true,exactly true, exactly true, exactly true,exactly true,NA,NA,3.9,Belgium,NA,39
133,nurses_international,NA,NA,moderately true,barely true,barely true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.8,Belgium,NA,28
134,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
135,nurses_international,NA,NA,barely true,barely true,barely true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.7,Belgium,NA,27
136,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
137,nurses_international,NA,NA,exactly true,moderately true,exactly true,moderately true,moderately true,exactly true,exactly true, exactly true, moderately true,exactly true,NA,NA,3.6,Belgium,NA,36
138,nurses_international,NA,NA,exactly true,exactly true,exactly true, exactly true, exactly true,exactly true,exactly true, exactly true, exactly true,exactly true,NA,NA,4,Belgium,NA,40
139,nurses_international,NA,NA,exactly true,moderately true,moderately true, exactly true, exactly true,exactly true,exactly true, moderately true, moderately true, moderately true,NA,NA,3.5,Belgium,NA,35
140,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
141,nurses_international,NA,NA,exactly true,barely true,moderately true, exactly true, exactly true,exactly true,exactly true, moderately true, moderately true, moderately true,NA,NA,3.4,Belgium,NA,34
142,nurses_international,NA,NA,moderately true,barely true,barely true,barely true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.7,Belgium,NA,27
143,nurses_international,NA,NA,moderately true,not at all true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true,barely true, moderately true,NA,NA,2.7,Belgium,NA,27
144,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true, exactly true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
145,nurses_international,NA,NA,barely true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.8,Belgium,NA,28
146,nurses_international,NA,NA,moderately true,not at all true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.8,Belgium,NA,28
147,nurses_international,NA,NA,moderately true,not at all true,moderately true,moderately true,moderately true,moderately true,moderately true, barely true, moderately true, moderately true,NA,NA,2.7,Belgium,NA,27
148,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
149,nurses_international,NA,NA,exactly true,not at all true,moderately true,moderately true, exactly true,exactly true,exactly true, exactly true, exactly true,exactly true,NA,NA,3.5,Belgium,NA,35
150,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,exactly true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
151,nurses_international,NA,NA,moderately true,not at all true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true,barely true, moderately true,NA,NA,2.7,Belgium,NA,27
152,nurses_international,NA,NA,exactly true,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, exactly true, moderately true,NA,NA,3.2,Belgium,NA,32
153,nurses_international,NA,NA,moderately true,not at all true,moderately true,moderately true,moderately true,moderately true,barely true, barely true, moderately true,barely true,NA,NA,2.5,Belgium,NA,25
154,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
155,nurses_international,NA,NA,exactly true,moderately true,exactly true, exactly true, exactly true,exactly true,exactly true, exactly true, exactly true,exactly true,NA,NA,3.9,Belgium,NA,39
156,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,exactly true,moderately true, moderately true, moderately true, moderately true,NA,NA,3.1,Belgium,NA,31
157,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,barely true,moderately true, exactly true, exactly true, moderately true,NA,NA,3.1,Belgium,NA,31
158,nurses_international,NA,NA,moderately true,not at all true,barely true, exactly true, exactly true,moderately true,moderately true, barely true, moderately true, moderately true,NA,NA,2.8,Belgium,NA,28
159,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true,moderately true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,2.9,Belgium,NA,29
160,nurses_international,NA,NA,moderately true,moderately true,exactly true,moderately true,moderately true,not at all true,barely true, moderately true, exactly true,barely true,NA,NA,2.8,Belgium,NA,28
161,nurses_international,NA,NA,moderately true,moderately true,exactly true, exactly true, exactly true,moderately true,exactly true, moderately true, moderately true,exactly true,NA,NA,3.5,Belgium,NA,35
162,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true, exactly true,exactly true,moderately true, moderately true, moderately true, moderately true,NA,NA,3.1,Belgium,NA,31
163,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true, barely true,barely true,moderately true, moderately true, moderately true,barely true,NA,NA,2.6,Belgium,NA,26
164,nurses_international,NA,NA,exactly true,moderately true,moderately true, exactly true, exactly true,exactly true,moderately true, moderately true, exactly true,exactly true,NA,NA,3.6,Belgium,NA,36
165,nurses_international,NA,NA,moderately true,moderately true,exactly true,barely true,moderately true,moderately true,barely true, barely true, moderately true,barely true,NA,NA,2.7,Belgium,NA,27
166,nurses_international,NA,NA,moderately true,moderately true,moderately true,moderately true,moderately true,exactly true,moderately true, barely true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
167,nurses_international,NA,NA,moderately true,barely true,barely true,moderately true,moderately true,not at all true,moderately true, moderately true,barely true, moderately true,NA,NA,2.5,Belgium,NA,25
168,nurses_international,NA,NA,moderately true,barely true,moderately true,moderately true, exactly true,moderately true,moderately true, moderately true, moderately true, moderately true,NA,NA,3,Belgium,NA,30
